Sample,RMSE,MAE,DELTA1
62381,0.009517327553139191,0.0016395775345739152,0.9999886751174927
55450,0.015388937721692376,0.003794320900381157,0.9999642968177795
34656,0.03608911120835322,0.014592654661115725,0.9997221827507019
13862,0.07822524812127733,0.04138431636041595,0.9980055689811707
6931,0.11258771679030385,0.06398636013694084,0.9951515793800354
3466,0.14957888090149551,0.08826499278998973,0.9905429482460022
1386,0.2004118472433132,0.12215896211080311,0.9814401865005493
693,0.2419890764412582,0.1502263401571158,0.971355140209198
347,0.284462738439434,0.18056130298969905,0.9580045938491821
139,0.3452333116835108,0.2283681351381461,0.932506263256073
