Sample,RMSE,MAE,DELTA1
62381,0.018782448023557663,0.0018214803421869874,0.9990812540054321
55450,0.02272517792880535,0.003103207563981414,0.9989244937896729
34656,0.030408339574933052,0.006434286944568157,0.9984232783317566
17328,0.03736133128404617,0.009298175573348999,0.9979116916656494
6931,0.04651372507214546,0.012566572986543179,0.997092068195343
3466,0.05433333292603493,0.015221826732158661,0.9962151050567627
693,0.0841829925775528,0.027476530522108078,0.9916739463806152
