Sample,RMSE,MAE,DELTA1
62381,0.03042081743478775,0.002600393258035183,0.999617874622345
55450,0.03236549347639084,0.004407702945172787,0.9995911717414856
34656,0.03452076390385628,0.008888334967195988,0.9995426535606384
13862,0.040875162929296494,0.013539272360503674,0.9994166493415833
6931,0.048539161682128906,0.01694336347281933,0.9990882277488708
3466,0.05772324278950691,0.020850393921136856,0.9985517859458923
1386,0.07535159587860107,0.028353575617074966,0.9971606731414795
693,0.09553823620080948,0.03748062625527382,0.9950380921363831
347,0.11891929805278778,0.04965261369943619,0.9919682145118713
