Sample,RMSE,MAE,DELTA1
62381,0.11523319721773333,0.024965113183377987,0.985230565071106
55450,0.16265050483433427,0.04985912166988387,0.9705082774162292
34656,0.2572856314223414,0.12470311287358161,0.9262740612030029
17328,0.3152208339608688,0.1870302527202588,0.8893964290618896
6931,0.3451532716989521,0.2245737432291778,0.8668585419654846
3466,0.35483973132607344,0.237019471922269,0.8597217202186584
693,0.3626142162013234,0.2477662861240432,0.8524684906005859
0,0.6028332710266113,0.46177321672439575,0.6079992651939392
