Sample,RMSE,MAE,DELTA1
62381,0.005766959163966411,0.0009885391716746175,0.9999998211860657
55450,0.009859317372904066,0.002419276719504718,0.999998927116394
34656,0.026742299159868952,0.01086190645859393,0.9999542236328125
13862,0.06713281779041354,0.03610536308811346,0.9991218447685242
6931,0.10240019359135075,0.05942499812976379,0.9970016479492188
3466,0.14066151957101156,0.08505658806482284,0.992956280708313
1386,0.19324009229535843,0.1211422748338185,0.9841263294219971
693,0.23426595642230974,0.15026197152465756,0.9745432138442993
347,0.2750163001148407,0.18048954958508115,0.9616801142692566
