Sample,RMSE,MAE,DELTA1
62381,0.03342060744762421,0.002974377479404211,0.9981275200843811
55450,0.03666112571954727,0.004566987510770559,0.9979009628295898
34656,0.046120982617139816,0.009027070365846157,0.996981143951416
17328,0.0556437224149704,0.012936287559568882,0.9960326552391052
6931,0.06949189305305481,0.017788473516702652,0.9945319890975952
3466,0.08295926451683044,0.02215934917330742,0.9928915500640869
693,0.13276231288909912,0.041674476116895676,0.9844463467597961
0,0.6028332710266113,0.46177321672439575,0.6079992651939392
