Sample,RMSE,MAE,DELTA1
62381,0.10647525126937595,0.023523593533085533,0.9922676086425781
55450,0.15075863078674057,0.047077365166340715,0.9845457077026367
34656,0.238255269891278,0.11766030271178508,0.9613919258117676
13862,0.30120293922686703,0.18816542283446838,0.9381347298622131
6931,0.3195331184764555,0.21177832454770198,0.9303780198097229
3466,0.3284106121743435,0.22354413635539344,0.9267524480819702
1386,0.33359745894806886,0.23060504368081405,0.9244900941848755
693,0.3354782799659396,0.23309450434040715,0.9236493706703186
347,0.3365491327805588,0.23477220399038792,0.9231172800064087
